Link,Description
https://www.youtube.com/watch?v=fNk_zzaMoSs&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&ab_channel=3Blue1Brown,"3Blue1Brown's visual guide to Linear Algebra, providing intuitive explanations of fundamental concepts like vectors, matrices, and transformations. Long YouTube series that can be watched for free."
https://www.khanacademy.org/math/multivariable-calculus,"Khan Academy's free course on Multivariable Calculus, covering partial derivatives, multiple integrals, and vector calculus. Khan Academy is nonprofit and a free resource."
https://www.youtube.com/watch?v=SmZmBKc7Lrs,"A YouTube video introducing Calculus for Machine Learning, covering differentiation, gradients, and optimization techniques. Youtube video can be watched for free"
https://www.youtube.com/@statquest,”StatQuest by Josh Starmer simplifies complex statistical and probability concepts with engaging explanations and animations. Long YouTube playlist that can be watched for free.”
https://www.coursera.org/specializations/mathematics-machine-learning,"Coursera's 'Mathematics for Machine Learning' specialization, covering linear algebra, multivariable calculus, and probability/statistics for ML. Uses Tensorflow and Python. Can be audited for free, but requires payment for the full course."
https://www.coursera.org/learn/machine-learning,"Andrew Ng's famous Machine Learning course on Coursera, covering supervised and unsupervised learning with MATLAB/Octave. Can be audited for free, but requires payment for the full course."
https://www.youtube.com/watch?v=mbyG85GZ0PI&list=PLD63A284B7615313A,"Caltech's Machine Learning course lectures, providing a theoretical foundation for ML concepts and algorithms. Long YouTube playlist that can be watched for free."
https://www.coursera.org/specializations/deep-learning,"Deep Learning Specialization by Andrew Ng, covering neural networks, CNNs, RNNs, and advanced deep learning topics using TensorFlow/Keras and Python. Can be audited for free, but requires payment for the full course."
https://course.fast.ai/,"Fast.ai's Practical Deep Learning for Coders, an application-focused course that teaches deep learning using PyTorch for free."
https://pll.harvard.edu/course/cs50s-introduction-artificial-intelligence-python,"Harvard's CS50: Introduction to AI with Python, a beginner-friendly course covering search algorithms, optimization, and neural networks. Can be audited for free."
https://developers.google.com/machine-learning/crash-course,"Google's Machine Learning Crash Course, a fast-paced introduction to ML concepts with TensorFlow-based exercises for free"
https://www.youtube.com/playlist?list=PLAqhIrjkxbuWI23v9cThsA9GvCAUhRvKZ,"Andrej Karpathy's 'Zero to Hero' series, an in-depth practical guide to neural networks and deep learning from scratch. A long YouTube playlist that can be watched for free."
https://cs231n.github.io/,"Stanford CS231n course notes, covering Convolutional Neural Networks (CNNs) and deep learning for visual recognition for free."
https://www.youtube.com/watch?v=NfnWJUyUJYU&list=PLkt2uSq6rBVctENoVBg1TpCC7OQi31AlC&ab_channel=AndrejKarpathy,"Stanford's CS231n lecture videos, providing a deep dive into CNNs, backpropagation, and deep learning architectures. Long YouTube playlist that can be watched for free."
https://www.youtube.com/watch?v=OyFJWRnt_AY,"University of Waterloo's lecture on Transformers, explaining attention mechanisms and deep learning models for NLP. Long YouTube video that can be watched for free."
https://www.youtube.com/watch?v=YAgjfMR9R_M&ab_channel=MichiganOnline,"University of Michigan's lecture on Transformers, covering self-attention and the evolution of modern NLP architectures. Long YouTube video that can be watched for free."
https://bbycroft.net/llm,”An interactive LLM visualization tool that helps users understand how large language models process text for free”
https://ig.ft.com/generative-ai/,"Financial Times' interactive Transformer explainer, visually breaking down how generative AI models like ChatGPT work for free."
https://www.youtube.com/watch?v=jEeL5Gf4vkk,"A YouTube video explaining residual learning and how it improves deep neural network training (e.g., ResNets). A long YouTube video that can be watched for free."
https://scikit-learn.org/stable/user_guide.html,"Scikit-Learn documentation, covering classic ML models like regression, SVMs, decision trees, and clustering."
https://www.tensorflow.org/tutorials/,"TensorFlow tutorials, providing hands-on guidance on deep learning models and deployment with TensorFlow."
https://pytorch.org/tutorials/,"PyTorch tutorials, covering model building, training, and optimization using the PyTorch framework."
https://www.kaggle.com/,"Kaggle, a platform for ML competitions, datasets, and collaborative learning through shared notebooks."
https://colab.research.google.com/,"Google Colab, a free cloud-based Jupyter notebook environment for running Python and ML models."
https://playground.tensorflow.org/,"TensorFlow Playground, an interactive tool for experimenting with neural network architectures and parameters."
https://huggingface.co/datasets,"Hugging Face Datasets, a repository of high-quality NLP datasets for training and fine-tuning AI models."
https://utmist.gitlab.io/courses/, "UTMIST website with a list of relevant machine learning courses provided at the University of Toronto."
